specindices,specnames,weights
213,Tradescantia_occidentalis,0.06308294166469616
146,Physostegia_angustifolia,0.6585772744657055
169,Senna_hebecarpa,0.06665036806735841
64,Desmodium_illinoense,0.4910381092557752
35,Bromus_kalmii,0.6393386985880393
37,Camassia_scilloides,0.06262093247250822
180,Smilax_lasioneura,0.06503444159135124
188,Sorghastrum_nutans,0.3597841635865966
74,Eryngium_yuccifolium,0.629271092650165
67,Echinacea_pallida,0.07667548999887182
11,Andropogon_gerardii,0.2873165046155214
59,Dalea_purpurea,0.8553962057171471
171,Silene_regia,0.1816568746773658
194,Sporobolus_heterolepis,0.6944031527234171
98,Heracleum_maximum,0.0713674184563086
166,Schizachyrium_scoparium,0.4750629860100019
149,Polygonatum_biflorum,0.06731723273221307
62,Desmanthus_illinoensis,0.5524998267046973
100,Hibiscus_lasiocarpos,0.0773859017415903
163,Rudbeckia_subtomentosa,0.5943881837065292
73,Elymus_virginicus,0.8021282063458575
9,Allium_stellatum,0.8686784283231784
174,Silphium_laciniatum,0.7703928597835125
157,Rosa_blanda,0.06262832594552314
10,Amorpha_canescens,0.5273043801760658
