specindices,specnames,weights
150,Potentilla_arguta,0.7750633762820622
229,Zizia_aptera,0.6206337417382785
230,Zizia_aurea,0.06494401628459721
54,Coreopsis_lanceolata,0.08439903678935613
118,Liatris_cylindracea,0.2988581882759069
28,Baptisia_alba,0.08988569141861266
202,Symphyotrichum_oolentangiense,0.06294272325230629
139,Parthenium_integrifolium,0.47050119617314745
162,Rudbeckia_laciniata,0.7470525075876621
92,Helianthus_grosseserratus,0.5596413977469126
10,Amorpha_canescens,0.5960160448141053
7,Allium_canadense,0.06667624435442497
35,Bromus_kalmii,0.7970822028754848
207,Taenidia_integerrima,0.4678298318476401
194,Sporobolus_heterolepis,0.6467202412506111
58,Dalea_candida,0.6154891337019712
18,Arnoglossum_atriplicifolium,0.06312657531282267
68,Echinacea_purpurea,0.670091871725248
67,Echinacea_pallida,0.573869614106477
204,Symphyotrichum_sericeum,0.3887986098953953
27,Astragalus_canadensis,0.142585120411794
59,Dalea_purpurea,0.06538016016934681
171,Silene_regia,0.3633428616890543
184,Solidago_ohioensis,0.7061472791370109
193,Sporobolus_cryptandrus,0.06292233315977289
