specindices,specnames,weights
118,Liatris_cylindracea,0.2288737567718304
222,Vernonia_fasciculata,0.28225002710393243
230,Zizia_aurea,0.22646297186983838
214,Tradescantia_ohiensis,0.11732833250904079
54,Coreopsis_lanceolata,0.08147972067034091
90,Helenium_autumnale,0.06735148415779993
28,Baptisia_alba,0.06488586247323606
202,Symphyotrichum_oolentangiense,0.11199884371707586
139,Parthenium_integrifolium,0.395412796964733
184,Solidago_ohioensis,0.5485669992372162
92,Helianthus_grosseserratus,0.49087787132584937
10,Amorpha_canescens,0.5295252129481041
150,Potentilla_arguta,0.6810580245097184
207,Taenidia_integerrima,0.39741004314360284
68,Echinacea_purpurea,0.5865666435446457
18,Arnoglossum_atriplicifolium,0.5375452857499152
229,Zizia_aptera,0.5447853776821333
58,Dalea_candida,0.5404654217787171
194,Sporobolus_heterolepis,0.5671949766534291
204,Symphyotrichum_sericeum,0.3396042142851307
74,Eryngium_yuccifolium,0.5734828851222964
78,Euthamia_graminifolia,0.5320220538505538
117,Liatris_aspera,0.46746565730545
59,Dalea_purpurea,0.6428491495094514
97,Heliopsis_helianthoides,0.44453638711595767
