specindices,specnames,weights
222,Vernonia_fasciculata,0.426934393280072
92,Helianthus_grosseserratus,0.4901430212028953
67,Echinacea_pallida,0.43990907515783395
169,Senna_hebecarpa,0.297122411437858
58,Dalea_candida,0.46632007092686917
139,Parthenium_integrifolium,0.45260449904357697
59,Dalea_purpurea,0.4325913748226174
7,Allium_canadense,0.08877135570508268
162,Rudbeckia_laciniata,0.42612087483537636
184,Solidago_ohioensis,0.4461501616904602
31,Bidens_frondosa,0.415696021354767
229,Zizia_aptera,0.5313755647559645
94,Helianthus_mollis,0.12478975599680539
187,Solidago_speciosa,0.45187013955912325
90,Helenium_autumnale,0.4318078407139004
163,Rudbeckia_subtomentosa,0.45570218295050013
68,Echinacea_purpurea,0.5060734889178611
127,Lupinus_perennis,0.4224113410755369
135,Oenothera_biennis,0.41074443605314404
207,Taenidia_integerrima,0.42578642435717623
54,Coreopsis_lanceolata,0.3905772387694887
97,Heliopsis_helianthoides,0.4133139183330133
202,Symphyotrichum_oolentangiense,0.4223680617059916
9,Allium_stellatum,0.29051711022318927
10,Amorpha_canescens,0.3402992371308976
