specindices,specnames,weights
31,Bidens_frondosa,0.11770474273880456
161,Rudbeckia_hirta,0.43292057938179224
162,Rudbeckia_laciniata,0.4219497895214694
184,Solidago_ohioensis,0.42535335710939887
122,Liatris_spicata,0.4249611870551773
97,Heliopsis_helianthoides,0.41562479033607663
139,Parthenium_integrifolium,0.4424166697446702
197,Symphyotrichum_laeve,0.4318312167940238
90,Helenium_autumnale,0.43245839256308943
99,Heuchera_richardsonii,0.43206222343824036
222,Vernonia_fasciculata,0.41547214410231526
127,Lupinus_perennis,0.43132372797281565
24,Asclepias_syriaca,0.3913745989244875
150,Potentilla_arguta,0.481037111245732
164,Rudbeckia_triloba,0.4640888488321135
18,Arnoglossum_atriplicifolium,0.42081556480226007
218,Verbena_hastata,0.4253780811396002
229,Zizia_aptera,0.43853819125963817
54,Coreopsis_lanceolata,0.4353799632501213
230,Zizia_aurea,0.33459164126541363
135,Oenothera_biennis,0.4555702524236167
9,Allium_stellatum,0.4215106267923245
214,Tradescantia_ohiensis,0.10357067483562386
92,Helianthus_grosseserratus,0.43505137685385603
120,Liatris_pycnostachya,0.36901424761733703
