specindices,specnames,weights
205,Symphyotrichum_turbinellum,0.06473167155100891
150,Potentilla_arguta,0.10600030249068504
127,Lupinus_perennis,0.3718566047426608
68,Echinacea_purpurea,0.21983187591217368
197,Symphyotrichum_laeve,0.4292955926552046
57,Crotalaria_sagittalis,0.2090096546833955
62,Desmanthus_illinoensis,0.31518303363706635
9,Allium_stellatum,0.16903481412478472
221,Verbesina_helianthoides,0.6899395005192288
58,Dalea_candida,0.8096828777009937
162,Rudbeckia_laciniata,0.5643901455501065
34,Brickellia_eupatorioides,0.5785550670611499
97,Heliopsis_helianthoides,0.6038480163888226
59,Dalea_purpurea,0.11079432200528319
222,Vernonia_fasciculata,0.6529192757874536
188,Sorghastrum_nutans,0.4410397308996492
73,Elymus_virginicus,0.5390647872906431
11,Andropogon_gerardii,0.5505312923916397
74,Eryngium_yuccifolium,0.5562107048564197
82,Gaura_longiflora,0.4660908270079398
98,Heracleum_maximum,0.5289304565149935
46,Carex_normalis,0.3265213878046756
33,Bouteloua_curtipendula,0.1454463668916127
52,Chamaecrista_fasciculata,0.45283491718707575
83,Gentiana_alba,0.09825677434533248
