indiv,cost,phylo_dist,bloom,shannon,consval,grass_spec_frac,grass_weight_frac
2194,302.966642,82572.26232,23.30583253,14.06949195,47.70471781,0.4,0.692975337
2195,2486.901432,76687.58461,22.16477783,19.15760096,97.64079274,0.12,0.098980027
2196,1243.460359,92284.19217,24.17813086,6.902102092,18.00094396,0.2,0.411903693
2197,1131.531508,84909.13423,16.58984935,22.44677757,76.85157171,0.32,0.288176714
2198,639.7945831,91463.13039,24.67777194,7.636619478,27.05454261,0.24,0.51948892
2199,2092.328764,43274.37823,25.285908,24.63927716,76.92980707,0,0
2200,2078.995645,49728.88356,25.06423398,24.51079801,79.59727731,0.04,0.023928199
2201,1539.166128,92381.34486,24.97558603,6.357060675,32.90756466,0.2,0.849980553
2202,934.8422484,84149.83809,18.07386937,20.90629326,73.64592987,0.32,0.318726156
2203,1139.919052,84979.40857,27.1537973,15.64421575,63.24499487,0.24,0.276967863
2204,959.3420065,84981.16966,17.05906854,21.72538032,74.65670385,0.32,0.296678496
2205,2226.992918,64151.53849,23.16868806,20.00224376,93.82748349,0.08,0.044554823
2206,2133.895008,56480.08222,22.80392189,23.62852849,86.52456919,0,0
2207,943.4265739,92389.29543,25.03009823,4.506641867,21.19894346,0.2,0.798139825
2208,2194.159221,58274.71749,24.75825191,22.31905501,88.0090589,0.04,0.026195998
2209,929.3622988,90959.29631,25.76290437,7.939400221,22.4060986,0.24,0.526959971
2210,1799.011179,73473.85719,28.21753012,19.47321817,69.35132067,0.04,0.014487063
2211,2492.19782,79093.84635,23.39376165,17.51212426,92.41018138,0.12,0.11652896
2212,1094.264931,89328.94054,26.34813118,9.329682913,39.47969386,0.28,0.778339608
2213,818.0517647,92389.29543,25.03009823,5.165018743,31.11027685,0.2,0.832474859
2214,609.09518,90133.80106,24.15086094,9.860401105,43.33720208,0.24,0.708957611
2215,1218.409204,81075.12071,18.89630202,23.42315704,76.19829934,0.32,0.267069426
2216,2140.19043,44685.04442,24.87247654,24.56927479,79.6055866,0.04,0.023832946
2217,1504.261019,78669.56355,27.37165548,18.29744946,65.84879522,0.12,0.216055662
2218,971.1459291,85648.03939,17.17103288,21.09583067,76.6630859,0.28,0.271751221
2219,629.0815643,87907.51099,25.97787267,10.43987656,42.81245649,0.28,0.686551654
2220,779.9385628,92229.07184,24.95403254,5.555729503,18.95906499,0.2,0.626310974
2221,531.1973521,89243.19404,25.20992663,10.39606685,34.55500807,0.28,0.653394904
2222,670.8776895,91776.46828,25.4723885,5.639549675,28.26021137,0.24,0.846510915
2223,701.6623326,91262.63126,25.70333419,6.795845301,24.95213094,0.24,0.660217408
2224,1198.821309,84080.49166,18.41718112,21.75596157,77.14459358,0.32,0.261710304
2225,859.0615843,92389.29543,25.03009823,4.261555758,21.67236869,0.2,0.824179995
2226,967.2506728,84511.24825,17.45768883,21.80905483,75.05999893,0.28,0.27278044
2227,2155.098286,68642.90739,22.39727739,21.81443577,91.54669425,0.08,0.063852493
2228,696.2768166,91140.5329,25.07084082,7.415250224,35.57988268,0.24,0.830572861
2229,676.8258119,92097.48281,25.33478901,3.672370972,35.7362867,0.2,0.817371515
2230,464.1366339,88597.27698,25.01330535,10.81964864,43.8281111,0.28,0.733637363
2231,989.9660638,90005.58232,26.15714032,8.646812271,37.70083661,0.28,0.628289716
2232,2278.386232,53091.60337,24.39047062,23.89310245,85.24214787,0.08,0.035221567
2233,2431.961532,92527.3684,25.01352718,4.071361362,84.39831342,0.16,0.108545924
2234,840.6526034,90860.82999,24.81959244,9.132493778,29.80568803,0.2,0.650116694
2235,1651.486078,90185.14124,26.65967037,11.99827332,44.09709524,0.28,0.386110432
2236,2217.845764,62886.97974,23.9736307,20.99134826,89.95903387,0.08,0.036153504
